year,actual,synthetic,gap
1990,36087.005845447595,36212.33048260651,-125.32463715891208
1991,36252.54227606461,36131.16307171141,121.3792043532012
1992,37231.52111903064,37474.09984526831,-242.5787262376689
1993,38461.64300346021,38215.080254727494,246.56274873271468
1994,39319.36346153846,39097.958939144424,221.40452239403385
1995,41188.98946194225,39534.17307594369,1654.816385998558
1996,40456.332606755896,40236.023154746144,220.3094520097511
1997,41411.37252959501,41796.75520415193,-385.38267455691675
1998,42360.85073006134,43643.36555878314,-1282.5148287217962
