fips,rmspe_pre,rmspe_post,ratio,is_treated
48183,325.3280335942574,10850.081627002619,33.35120403590741,FALSE
48329,1479.9330880096886,48306.08362395353,32.64072140512699,FALSE
48231,240.768841978782,7353.555483037011,30.54197305017171,FALSE
48221,306.5993698698839,8212.502271443778,26.78577674484145,FALSE
48097,434.6640547793837,8100.062882264418,18.63522597095279,FALSE
48497,235.57464389649053,4317.0427050184235,18.32558306621189,FALSE
48121,448.75613819295666,8194.337466060499,18.260112271794906,FALSE
48139,253.61552359957807,4587.754042136301,18.089405478900005,FALSE
48303,167.44065915760297,2801.6806985849344,16.732379773707542,FALSE
48477,561.1600523563886,8923.685054719328,15.90221010431434,FALSE
48367,438.153717536902,6331.64643799476,14.450742249976457,FALSE
48063,380.29363900823637,5105.462909977285,13.425054711122083,FALSE
48397,3652.8858007989793,46332.93406980097,12.683926242552333,FALSE
48143,702.9372823724402,8013.491302193592,11.400008938418733,FALSE
48281,628.5977914388116,6650.199964652033,10.579419869468904,FALSE
48451,221.72958406845683,2245.5866845039604,10.12759165150762,FALSE
48147,387.4808157726194,3449.120866641063,8.90139776278645,FALSE
48341,481.2416775583037,4122.90821384012,8.567230159197129,FALSE
48251,169.45107358384612,1185.5116488229671,6.996188479362828,FALSE
48091,669.9330301820451,4254.761340754415,6.351024877215328,TRUE
48467,501.1143679977582,2853.35867600092,5.694026869358662,FALSE
48375,403.76412721658363,2275.40733639421,5.635486619576919,FALSE
48257,329.84072927442924,1827.5640518972689,5.540747062733802,FALSE
48287,433.9073074395622,2358.011228963053,5.434366254114063,FALSE
48223,610.0246229196938,3249.946775481055,5.327566549570068,FALSE
48181,348.83146199583837,1813.3404015147828,5.198328129979331,FALSE
48027,846.6323429287419,4299.3040092699375,5.078123987559255,FALSE
48381,537.0025762058009,2605.3263163262186,4.851608598852891,FALSE
48309,276.5468312820784,1117.820819484651,4.042066995678107,FALSE
48213,301.27362706568084,957.2598121752086,3.1773767305776017,FALSE
48217,614.6411076000753,1512.1401213797346,2.4602001113853733,FALSE
48041,524.6033045113934,1030.3792824731447,1.9641113077486663,FALSE
