donor_fips,weight
48397,0.535510291901438
48281,0.2771310178192476
48303,0.083280097013340465
48041,0.0615865407137447
48027,0.04238713591901242
48121,7.615855799747917e-5
48367,4.7937736230139365e-6
48477,3.703724434011451e-6
48381,3.4284300360781263e-6
48143,2.3100458226042524e-6
48467,1.5178819357234387e-6
48451,1.2968604507407986e-6
48251,1.1947605541279865e-6
48309,1.0154191088774142e-6
48257,9.941430486968343e-7
48097,7.832559460978889e-7
48217,7.423980031502471e-7
48287,7.004027417645122e-7
48213,6.872074820628335e-7
48341,6.556014945906224e-7
48139,5.795860990604815e-7
48497,5.788305439428381e-7
48375,5.290847619104806e-7
48221,5.016328447426037e-7
48223,4.5546364458301443e-7
48329,4.4134005569663255e-7
48147,3.939380718290719e-7
48063,3.888469497813857e-7
48181,3.8763818743023433e-7
48183,3.6586122539858365e-7
48231,3.1194792372947305e-7
